Score,Text
0.861,"""This the most depressing shit ever"""
0.417,"""final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob"""
0.500,"""He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace"""
0.833,"""feel really sad and down today😒"""
0.667,"""Wow just watched Me Before You and it was seriously one of the most depressing movies of my life"""
0.604,"""Way too cool to die young, way too young to die sober.. #tunechi"""
0.188,"""Happy Birthday Roy Buchanan, born on this day in 1939. #roybuchanan #guitar #blues #happybrithday"""
0.833,"""Ibiza blues hitting me hard already wow"""
0.417,"""Awareness of time is awareness of time lost. #awareness #time"""
0.396,"""No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow"""
0.375,"""great programme tonight #upsetting #extremeworld"""
0.854,"""Most days, I don't know what my heart beats for. #depression"""
0.479,"""Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos."""
0.623,"""You can tell the camp isn't happy purely through Bojan and Muni.\n\nBoth normally fab guys, yet completely dejected. Something isn't right.."""
0.275,"""Bill Clinton: 'Do not grow weary of doing good.' #CGI2016"""
0.438,"""too dull for the UK."""
0.312,"""#sober life"""
0.667,"""I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse"""
0.708,"""I'm depress now"""
0.604,"""When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love 🎶"""
0.229,"""John and his 'magic box' #lost"""
0.271,"""it didn't impress me but it didn't depress me'"""
0.263,"""So safe blues are ok. Are reds ok as well? Obviously, battleground states would not."""
0.750,"""So grim being up at 6"""
0.750,"""\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet"""
0.438,"""Cheap pout my brodcast"""
0.333,"""I wanna see you smile I don't wanna see you make a frown"""
0.646,"""Liam is too distant makes me mourn 😪"""
0.625,"""Being at the airport is so depressing.. watching all the loved up couples and cute people coming off holiday,too cute..hurry up November ✈️"""
0.604,"""Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain"""
0.667,"""#EndTrumpweek please, it's #depressing me."""
0.292,"""SRV's 'Voodoo Child' is approximately 76 times better than Jimi's. #guitar #music #blues"""
0.585,"""my bls depress the blake"""
0.667,"""I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18"""
0.167,"""If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of 's concerts in LA. #serious"""
0.750,"""I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕"""
0.521,"""let them know it's the #blues"""
0.250,"""Mmmm #coffee and a good #book on a dreary day! Who can beat that?"""
0.521,"""nah, I asked really insightful teacherly questions so he could write a kickass report of his own. He will, sadly, never know"""
0.583,"""Romero is fucking dreadful like seriously my 11 month old is better than him."""
0.544,"""“My friend do you fly away now? To a world that abhors you and I? All that awaits you is a somber morrow No matter where the winds may blow”"""
0.708,"""and 'Being over it.' Why USA has #panicattacks #anxiety #depression and so much medication!"""
0.104,"""🍂🎵☀\n#fall sounds great !\ndream #blues #rock by .\nGet the top album 'One Love' by hero . :D"""
0.604,"""Im kind of confused. The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp"""
