Score,Text
0.140,"""Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy."""
0.792,"""2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited!"""
0.274,"""Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism."""
0.480,"""As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well."""
0.940,"""Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO"""
0.539,"""afternoon delight"""
0.480,"""Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in"""
0.422,"""As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing."""
0.396,"""that's the spirit #optimism"""
0.340,"""also a"""
0.708,"""Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet"""
0.333,"""They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? #optimism"""
0.154,"""when u havent learned to swim 🤔 but you keep working out so you're denser and less buoyant 😞 but swimming is scary 🤔 but also u cant swim 😞"""
0.442,"""Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour"""
0.600,"""Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting"""
0.260,"""mirana told me to shut up when i was singing along to glee..."""
0.667,"""#happiness #recipe: an open mind, #laughter, a kind #heart &amp;"""
0.896,"""🔥💁🏼- its lit having a class with you!!! Your such a great person and good at cheer!!"""
0.521,"""Watch this amazing live.ly broadcast by #musically"""
0.812,"""Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now."""
0.340,"""Function in regard to camshaft exhilaration companies: CQHshJSI"""
0.375,"""Kirby's Black Panther in a cool animated panel."""
0.620,"""Just popped a half bottle of 2014 #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat"""
0.760,"""I'm cheery now 😘😉"""
0.240,"""actually maybe we were supposed to die and my donation saved our lives??"""
0.708,"""I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper #letsdance #dirtydancinginthemoonlight👌"""
0.208,"""looks like a book shaped like a gun to me #itsagunalright"""
0.560,"""more of a hearty Italian man myself"""
0.300,"""The little sniffle at the end of the song gets me every time."""
0.520,"""it's not the most comforting &amp; jubilant place to be, but I do find joy in doing what's best for me and being passionate abt company I keep."""
0.800,"""just watched you on the great wall #hilarious 😆"""
0.923,"""I ❤️you on DWTS You make my night every show! 😘 #hilarious"""
0.578,"""Watch this amazing live.ly broadcast by #musically"""
0.936,"""I love my family so much #lucky #grateful #smartassfamily #love"""
0.583,"""There’s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor."""
0.058,"""that's a good question. I really don't know. I am slowly losing my optimism"""
0.583,"""Whatever you decide to do make sure it makes you #happy."""
0.160,"""Inquiries into alleged abuses by UK troops in Afghanistan and Iraq and data suggesting a buoyant post-Brexit economy makes the front pages."""
0.792,"""May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak😇 , good morning☕"""
0.340,"""Pinterest one dessert... Next thing you know your pinning how to make 27 different visually pleasing mouth watering never gonna make sweets."""
0.769,"""in love with insta!!!... #hilarious"""
0.860,"""Retweeted GunnySmith93 ():\n\nDays like today I am happy to be alive! #blessed #rejoice"""
0.481,"""Pakis are applauding Sharif's speech,i wonder how many really understood what he said!!!!\nThey are very much excited and happy"""
0.473,"""Memphis looking bright. Rojo looking like Rojo."""
0.729,"""I'm beaming with glee."""
0.479,"""When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that"""
0.271,"""Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE"""
